,Rajonas,Gatve,Kaina,Kvadrato kaina,Kambariai,Plotas,Aukstas,Is viso aukstu
0,Lazdynėliai,Bukčių g.,69070,1707,2,40.46,2,5
1,Pašilaičiai,Budiniškių g.,74200,1599,2,46.41,1,5
2,Balsiai,Želmenų g.,99000,1053,4,94,1,1
3,Bajorai,Bajorų kel.,108800,1565,4,69.51,2,6
4,Antakalnis,Vytauto Žalakevičiaus g.,155000,2456,2,63.11,3,7
5,Naujininkai,Panevėžio g.,84500,1565,2,54,3,4
6,Šnipiškės,Giedraičių g.,95000,1772,2,53.61,8,10
7,Šnipiškės,Giedraičių g.,88000,1984,2,44.36,2,9
8,Justiniškės,Taikos g.,49990,1680,1,29.76,1,4
9,Viršuliškės,Viršuliškių g.,78000,1829,2,42.65,3,11
10,Antakalnis,L. Sapiegos g.,110300,2209,2,49.93,3,7
11,Bajorai,Bajorų kel.,118000,1691,4,69.8,6,9
12,Šnipiškės,Giedraičių g.,67000,1936,1,34.61,7,10
13,Justiniškės,Taikos g.,98600,1580,3,62.42,1,4
14,Antakalnis,Antakalnio g.,85200,2301,2,37.02,5,5
15,Antakalnis,Antakalnio g.,123000,2102,3,58.52,4,5
16,Pilaitė,M. Mažvydo g.,110800,1816,3,61,1,5
17,Pilaitė,Juodkrantės g.,80600,1569,2,51.38,3,5
18,Bajorai,Bajorų kel.,55400,1947,1,28.45,5,9
19,Šnipiškės,Giedraičių g.,67500,2399,1,28.14,8,9
20,Valakampiai,Svajonių g.,258000,2745,3,94,2,4
21,Lazdynėliai,Lazdynėlių g.,109000,1683,3,64.75,3,4
22,Šnipiškės,Kintų g.,130000,2518,3,51.62,2,7
23,Pilaitė,M. Mažvydo g.,62600,1610,2,38.89,5,5
24,Pilaitė,Bitėnų g.,100000,1536,3,65.1,2,5
25,Pašilaičiai,Budiniškių g.,114100,1549,4,73.65,1,5
26,Pilaitė,Bitėnų g.,90000,1503,3,59.88,1,5
27,Šiaurės miestelis,S. Žukausko g.,119000,2115,2,56.26,4,7
28,Antakalnis,Pylimėlių g.,119845,1890,3,63.42,1,3
29,Justiniškės,Taikos g.,76400,1722,2,44.36,2,4
30,Justiniškės,Taikos g.,113500,1729,4,65.64,3,4
31,Justiniškės,Taikos g.,79137,1720,2,46.01,2,4
32,Pilaitė,Varnės g.,93000,979,4,95,2,2
33,Pašilaičiai,Laisvės pr.,82000,1547,2,53,2,6
34,Pilaitė,Gilužio g.,103000,1707,3,60.35,2,3
35,Pilaitė,Gilužio g.,60000,1649,1,36.38,3,3
36,Šeškinė,Ozo g.,91000,1847,2,49.26,1,5
37,Lazdynėliai,Lazdynėlių g.,73000,1741,2,41.93,3,4
38,Šnipiškės,Kernavės g.,90000,2166,2,41.56,1,6
39,Lazdynėliai,Lazdynėlių g.,111600,1639,4,68.08,3,5
40,Lazdynėliai,Lazdynėlių g.,73900,1742,2,42.42,3,5
41,Lazdynėliai,Lazdynėlių g.,94500,1710,3,55.25,5,5
42,Pilaitė,Pilkalnio g.,86568,1061,4,81.61,1,3
43,Pilaitė,Bitėnų g.,91000,1571,3,57.94,4,5
44,Šnipiškės,Kalvarijų g.,75000,1442,3,52,1,1
45,Markučiai,Manufaktūrų g.,199500,2530,3,78.86,1,4
46,Fabijoniškės,S. Stanevičiaus g.,90000,1343,3,67,5,5
47,Naujamiestis,Pakalnės g.,210000,2386,4,88,3,3
48,Antakalnis,Pylimėlių g.,68783,1860,2,36.98,3,3
49,Antakalnis,Pylimėlių g.,121100,1910,3,63.41,2,3
50,Saulėtekis,Pylimėlių g.,89300,1825,3,48.94,2,3
51,Justiniškės,Taikos g.,57150,1799,1,31.76,1,4
52,Justiniškės,Taikos g.,109600,1740,3,62.99,1,4
53,Naujamiestis,Gerosios Vilties g.,88700,1941,2,45.69,2,6
54,Lazdynėliai,Lazdynėlių g.,92900,2266,2,41,2,4
55,Filaretai,Olandų g.,68000,2810,1,24.2,3,6
56,Pašilaičiai,Perkūnkiemio g.,109000,1906,3,57.18,9,9
57,Fabijoniškės,Ateities g.,44999,1337,2,33.66,6,6
58,Naujamiestis,Gerosios Vilties g.,83700,1929,2,43.4,5,6
59,Viršuliškės,Viršilų g.,115000,1807,2,63.65,9,23
60,Žirmūnai,Žirmūnų g.,175900,1893,4,92.93,4,4
61,Žirmūnai,Žirmūnų g.,139900,1503,4,93.08,4,4
62,Lazdynėliai,Lazdynėlių g.,134900,1984,3,68,3,4
63,Žirmūnai,Trinapolio g.,153000,2002,3,76.41,10,10
64,Pilaitė,Pilkalnio g.,86568,1519,3,57,1,3
65,Lazdynėliai,Lazdynėlių g.,72000,1714,2,42,2,4
66,Šeškinė,Ozo g.,75000,1908,2,39.31,3,5
67,Senamiestis,M. K. Čiurlionio g.,870000,4416,4,197,6,7
68,Naujamiestis,M. K. Čiurlionio g.,870000,4416,4,197,6,7
69,Naujamiestis,Naugarduko g.,95000,1667,3,57,1,5
70,Lazdynai,Erfurto g.,67400,1053,3,64,4,9
71,Naujamiestis,Smolensko g.,177000,2835,2,62.44,7,10
72,Pilaitė,Bitėnų g.,75000,1430,3,52.44,2,5
73,Karoliniškės,Sausio 13-osios g.,99999,1943,2,51.47,2,7
74,Lazdynai,Miškinių g.,195000,1500,4,130,1,2
75,Karoliniškės,Miškinių g.,195000,1500,4,130,1,2
76,Senamiestis,Pakalnės g.,210000,2333,3,90,2,2
77,Naujamiestis,Gedimino pr.,107000,3344,1,32,3,5
78,Naujamiestis,Smolensko g.,149999,2718,3,55.18,3,8
79,Šnipiškės,Linkmenų g.,135800,1700,4,79.86,2,9
80,Šnipiškės,Linkmenų g.,130700,1637,4,79.86,1,9
81,Šnipiškės,Linkmenų g.,110900,1900,3,58.36,7,9
82,Naujamiestis,Vytenio g.,119900,2922,2,41.03,3,7
83,Antakalnis,Vaidilutės g.,188000,2308,3,81.47,1,2
84,Antakalnis,Pylimėlių g.,69700,1877,2,37.13,3,3
85,Šeškinė,Šeškinės g.,69700,1382,2,50.43,9,9
86,Žvėrynas,Latgalių g.,329000,2788,4,118,3,3
87,Bajorai,Fizikų g.,124900,2586,2,48.29,4,5
88,Žvėrynas,Latvių g.,285000,4655,2,61.23,4,4
89,Antakalnis,Antakalnio g.,66800,2399,1,27.84,4,5
90,Senamiestis,Didžioji g.,207000,2550,3,81.18,4,4
91,Tarandė,Tarandės g.,52000,1238,2,42,2,4
92,Naujamiestis,Gerosios Vilties g.,72000,2167,2,33.23,3,5
93,Antakalnis,V. Grybo g.,169700,2424,3,70,2,4
94,Žirmūnai,M. Katkaus g.,106900,2235,2,47.84,7,7
95,Antakalnis,Smėlio g.,128000,2384,2,53.7,4,5
96,Naujoji Vilnia,Pergalės g.,16000,1000,1,16,4,4
97,Senamiestis,Gėlių g.,235280,1994,4,118,3,3
98,Naujamiestis,A. Jakšto g.,147000,3642,2,40.36,3,6
99,Lazdynėliai,Lazdynėlių g.,92500,2056,2,45,1,4
100,Baltupiai,Didlaukio g.,209500,1397,4,150,9,16
101,Naujininkai,Šumsko g.,118000,1073,4,110,2,2
102,Lazdynėliai,Lazdynėlių g.,52000,1660,1,31.32,4,4
103,Senamiestis,Lydos g.,352000,4195,3,83.91,3,3
104,Senamiestis,Lydos g.,563000,4504,3,125,2,4
105,Antakalnis,Antakalnio g.,144500,2870,2,50.35,7,8
106,Užupis,Manufaktūrų g.,98960,1600,3,61.85,2,6
107,Užupis,Manufaktūrų g.,78990,1500,2,52.66,3,6
108,Filaretai,Filaretų g.,104000,2012,2,51.7,2,5
109,Naujamiestis,Gerosios Vilties g.,50000,1515,1,33,5,5
110,Justiniškės,Taikos g.,80000,1307,3,61.22,5,5
111,Antakalnis,V. Grybo g.,168812,2061,3,81.9,1,4
112,Senamiestis,Gedimino pr.,215000,3644,2,59,4,4
113,Šnipiškės,Giedraičių g.,119000,1890,3,62.96,1,4
114,Šnipiškės,Giedraičių g.,79000,1909,2,41.39,2,4
115,Senamiestis,Kėdainių g.,598635,4500,4,133.03,2,2
116,Naujininkai,Dariaus ir Girėno g.,57000,2111,1,27,4,9
117,Naujoji Vilnia,Gerovės g.,65000,1401,2,46.41,4,5
118,Užupis,Krivių g.,390000,4021,4,97,5,5
119,Pašilaičiai,Grigalaukio g.,85000,2237,2,38,6,6
120,Bajorai,Bajorų kel.,100000,1629,3,61.39,1,6
121,Pašilaičiai,Budiniškių g.,96600,1655,3,58.37,4,5
122,Naujamiestis,Gerosios Vilties g.,117000,1887,3,62,3,6
123,Naujamiestis,Gerosios Vilties g.,141500,1912,3,74,3,6
124,Žirmūnai,Trinapolio g.,87200,1799,2,48.46,1,9
125,Žirmūnai,Trinapolio g.,139000,1550,4,89.67,4,10
126,Žirmūnai,Trinapolio g.,118000,1996,2,59.12,10,10
127,Pašilaičiai,Budiniškių g.,63000,2423,1,26,5,5
128,Žirmūnai,Trinapolio g.,98000,1750,2,56.01,6,9
129,Lazdynai,Erfurto g.,59900,1240,2,48.3,8,12
130,Pilaitė,Dituvos g.,95800,988,4,97,1,2
131,Pavilnys,Džiaugsmo g.,85000,1063,4,80,2,2
132,Pavilnys,Džiaugsmo g.,80000,1143,3,70,1,2
133,Naujamiestis,V. Pietario g.,48500,1617,1,30,2,5
134,Valakampiai,Nemenčinės pl.,229900,2664,4,86.31,2,3
135,Pilaitė,I. Simonaitytės g.,97000,2033,2,47.71,1,4
136,Užupis,Polocko g.,144000,3556,2,40.5,3,4
137,Pašilaičiai,Ukmergės g.,82000,1695,2,48.39,4,9
138,Pašilaičiai,Medeinos g.,89000,1216,4,73.19,12,16
139,Pilaitė,Karaliaučiaus g.,79999,1818,2,44,4,5
140,Viršuliškės,Viršuliškių g.,61500,1864,1,33,4,9
141,Pilaitė,Simono Grunau g.,78011,1472,3,53,1,3
142,Pilaitė,Bitėnų g.,66000,1540,2,42.87,1,5
143,Antakalnis,Svajonių g.,143900,2136,2,67.37,2,4
144,Antakalnis,M. K. Oginskio g.,165000,2463,3,67,3,4
145,Naujoji Vilnia,Pramonės g.,26600,950,1,28,4,4
146,Karoliniškės,Algimanto Petro Kavoliuko g.,110000,1984,2,55.44,2,9
147,Naujamiestis,Kauno g.,73500,2553,2,28.79,4,4
148,Žirmūnai,Minties g.,69000,1567,2,44.04,5,5
149,Rasos,Subačiaus g.,35999,1402,1,25.68,3,5
150,Fabijoniškės,Salomėjos Nėries g.,72000,1532,2,47,5,12
151,Šnipiškės,Linkmenų g.,142100,1782,4,79.73,4,9
152,Naujamiestis,Mindaugo g.,178000,3787,2,47,6,7
153,Vilkpėdė,Vilkpėdės g.,115000,1998,2,57.57,5,6
154,Antakalnis,Antakalnio g.,122900,2100,3,58.52,4,5
155,Kalnėnai,Kroatų g.,92000,1146,4,80.26,1,2
156,Pilaitė,Vydūno g.,99999,1698,2,58.88,4,9
157,Naujamiestis,K. Donelaičio g.,162800,2200,3,74,5,9
158,Žirmūnai,Žirmūnų g.,77000,1614,2,47.7,3,5
159,Antakalnis,Antakalnio g.,79000,2098,2,37.65,4,5
160,Antakalnis,Antakalnio g.,118000,1773,2,66.54,4,4
161,Žirmūnai,Verkių g.,465000,3224,4,144.25,2,3
162,Užupis,Polocko g.,229000,3200,3,71.57,3,3
163,Valakampiai,Pasakų g.,395000,4938,3,80,2,2
164,Lazdynėliai,Lazdynėlių g.,94800,2257,2,42,4,4
165,Lazdynėliai,Lazdynėlių g.,78300,2526,1,31,3,4
166,Senamiestis,Aguonų g.,172587,2695,3,64.05,3,5
167,Antakalnis,Smėlio g.,135000,2252,2,59.95,4,7
168,Antakalnis,Smėlio g.,182000,2246,4,81.03,7,7
169,Žirmūnai,Trinapolio g.,99980,1950,2,51.27,6,11
170,Filaretai,Olandų g.,130000,2453,3,53,4,6
171,Užupis,Olandų g.,115000,2500,2,46,3,5
172,Senamiestis,Totorių g.,172556,3977,2,43.39,2,2
173,Naujamiestis,Vilkpėdės g.,147000,1959,3,75.04,4,7
174,Santariškės,Žaliųjų Ežerų g.,66500,1663,1,40,6,8
175,Antakalnis,Antakalnio g.,100000,1658,2,60.33,1,3
176,Žirmūnai,Žirmūnų g.,93000,1348,3,69,1,12
177,Užupis,Polocko g.,275000,3769,3,72.96,2,3
178,Senamiestis,A. Strazdelio g.,350000,2646,5,132.29,4,4
179,Naujoji Vilnia,Pramonės g.,15900,795,1,20,3,5
180,Senamiestis,Šv. Stepono g.,116000,995,3,116.63,3,3
181,Naujamiestis,Vytenio g.,76500,1813,2,42.19,4,4
182,Žirmūnai,Žirmūnų g.,124927,1913,2,65.29,4,4
183,Užupis,Manufaktūrų g.,101448,2020,2,50.22,2,6
184,Užupis,Manufaktūrų g.,58205,1750,1,33.26,1,6
185,Žvėrynas,Miglos g.,115000,1519,4,75.71,2,5
186,Verkiai,Trinapolio g.,297000,2092,4,142,3,3
187,Naujamiestis,Šaltinių g.,99909,2547,2,39.23,2,5
188,Žvėrynas,Blindžių g.,67000,1971,1,34,1,2
189,Šnipiškės,Giedraičių g.,215000,2263,4,95,4,4
190,Justiniškės,Budiniškių g.,63000,2423,1,26,5,5
191,Senamiestis,Pylimo g.,146000,3842,2,38,2,3
192,Pašilaičiai,Perkūnkiemio g.,107900,1798,3,60,12,12
193,Senamiestis,Kėdainių g.,599130,4500,4,133.14,2,3
194,Senamiestis,Kėdainių g.,190122,3200,3,59.41,1,1
195,Pilaitė,Elbingo g.,119900,1998,3,60,2,4
196,Antakalnis,Vytauto Žalakevičiaus g.,173900,3133,2,55.5,3,8
197,Žirmūnai,Kareivių g.,82000,2130,2,38.5,2,4
198,Lazdynai,Architektų g.,45000,1367,1,32.92,5,5
199,Naujamiestis,Algirdo g.,230000,1513,5,152,2,3
200,Pašilaičiai,Ukmergės g.,98000,1241,3,79,1,9
201,Viršuliškės,Viršuliškių g.,132900,1751,4,75.89,5,11
202,Viršuliškės,Viršuliškių g.,99800,1738,3,57.43,1,11
203,Bajorai,Bajorų kel.,69200,1752,2,39.49,1,6
204,Pilaitė,M. Mažvydo g.,145000,1648,4,88,6,6
205,Naujamiestis,Brolių g.,130000,1857,3,70,1,2
206,Naujamiestis,Kauno g.,96000,3200,1,30,2,6
207,Kalnėnai,Kroatų g.,134000,1670,4,80.26,1,2
208,Pilaitė,Bitėnų g.,79900,1776,2,45,2,4
209,Pilaitė,Bitėnų g.,79900,1776,2,45,3,4
210,Antakalnis,Šilo g.,225000,2123,4,106,2,3
211,Šnipiškės,Juozo Balčikonio g.,164000,2408,3,68.11,8,9
212,Baltupiai,Juozo Balčikonio g.,164000,2412,3,68,8,9
213,Žirmūnai,Juozo Balčikonio g.,164000,2412,3,68,8,9
214,Karoliniškės,Vido Maciulevičiaus g.,57000,1727,2,33,8,9
215,Naujoji Vilnia,Kirtavietės g.,109000,962,3,113.3,2,4
216,Fabijoniškės,Fabijoniškių g.,72900,1429,2,51,6,9
217,Senamiestis,Pylimo g.,139000,2482,2,56,4,4
218,Pašilaičiai,Leičių g.,86900,1609,2,54,3,9
219,Naujamiestis,Savanorių pr.,81900,1820,2,45,4,5
220,Lazdynai,Architektų g.,109000,1787,2,61,2,4
221,Naujininkai,Eišiškių pl.,105999,2120,2,50,3,5
222,Baltupiai,Juozo Balčikonio g.,175000,2333,3,75,2,5
223,Senamiestis,Ankštoji g.,430000,2129,6,202,5,6
224,Jeruzalė,Kalvarijų g.,114000,1086,4,105,5,5
225,Pilaitė,Tvankstos g.,95000,2159,2,44,2,5
226,Pašilaičiai,Budiniškių g.,65000,2547,1,25.52,7,7
227,Žirmūnai,Apkasų g.,64900,1411,2,46,5,5
228,Antakalnis,Bistryčios g.,168812,2378,3,71,2,4
229,Lazdynai,Erfurto g.,117000,1754,2,66.72,2,4
230,Naujoji Vilnia,Pramonės g.,17700,620,1,28.54,2,4
231,Antakalnis,Žirgo g.,170000,2000,3,85,4,20
232,Pilaitė,M. Mažvydo g.,90000,1698,2,53,1,9
233,Antakalnis,Turniškių g.,182000,2364,3,77,3,3
234,Žirmūnai,Žirmūnų g.,106500,2536,2,42,8,9
235,Fabijoniškės,Salomėjos Nėries g.,78000,1444,2,54,11,13
236,Baltupiai,Kalvarijų g.,114000,1086,4,105,5,5
237,Baltupiai,Jurgio Lebedžio g.,125000,2778,2,45,3,5
238,Senamiestis,Subačiaus g.,130000,3939,2,33,2,4
239,Šnipiškės,Kalvarijų g.,81000,1319,3,61.41,2,5
240,Žirmūnai,Žirmūnų g.,94900,1483,3,64,9,12
241,Grigiškės,Kovo 11-osios g.,89000,1126,3,79.04,3,5
242,Senamiestis,Gedimino pr.,380000,4659,3,81.56,3,5
243,Pilaitė,Karaliaučiaus g.,91000,2011,2,45.24,7,9
244,Pilaitė,Karaliaučiaus g.,98000,1965,2,49.87,7,9
245,Bajorai,Salaspilio g.,86000,2091,2,41.12,2,4
246,Pilaitė,Trakėnų g.,120000,1224,4,98,1,3
247,Pašilaičiai,Leičių g.,117011,1733,3,67.5,8,9
248,Justiniškės,Rygos g.,52000,1466,1,35.48,5,5
249,Senamiestis,Totorių g.,232000,1993,3,116.4,4,4
250,Pašilaičiai,Leičių g.,75011,1559,2,48.1,7,9
251,Pašilaičiai,Leičių g.,95011,1792,2,53.02,9,9
252,Pašilaičiai,Leičių g.,71011,1005,3,70.66,7,9
253,Pilaitė,Nidos g.,87000,1673,2,52,9,9
254,Pilaitė,Nidos g.,87000,1673,2,52,9,9
255,Pilaitė,M. Mažvydo g.,75000,2273,1,33,3,9
256,Senamiestis,Šermukšnių g.,188000,2410,2,78,1,5
257,Senamiestis,Bazilijonų g.,169400,2500,3,67.76,3,4
258,Šnipiškės,Linkmenų g.,146000,2548,3,57.3,2,7
259,Karoliniškės,Algimanto Petro Kavoliuko g.,72500,1543,2,47,1,5
260,Lazdynėliai,Jonažolių g.,78900,1793,2,44,3,9
261,Jeruzalė,Kviečių g.,69000,1699,1,40.62,2,5
262,Baltupiai,Kalvarijų g.,47500,1289,1,36.86,4,12
