id;adresas;namo_valdytojas;valdymo_forma;paskyrimo_pagrindas;administratoriaus_pabaigos_Data;paskirtis;uni_nr;bendr_plotas;naud_plotas;build_year;renov_metai;renovacijos_statusas;energ_naudingumo_klase;butu_skaicius;negyvenamuju_palapu_skaicius;korpusas;sklypo_plotas
1;A. Goštauto g. 2;286-oji gyvenamojo namo A.Goštauto g. 2/15 savininkų bendrija;Bendrija;1995.02.02;;Gyvenamoji (trys ir daugiau butų);1096-0010-4010;6607.43;4360.68;1960;;Nerenovuotas;;53;4;1A7p;0.00
2;A. Goštauto g. 3;DNSB NERIES VINGIS;Bendrija;2009.04.10;;Gyvenamoji (trys ir daugiau butų);1095-7003-6016;4304.17;2771.57;1957;;Nerenovuotas;;38;14;1A5p;0.15
3;A. Jakšto g. 11;48-oji daugiabučio namo savininkų bendrija;Bendrija;1993.06.10;;Gyvenamoji (trys ir daugiau butų);1094-0000-5038;182.92;123.47;1940;;Nerenovuotas;;2;2;3A2p;0.00
4;A. Jakšto g. 2;616-oji daugiabučio namo savininkų bendrija;Bendrija;2013.06.20;;Gyvenamoji (trys ir daugiau butų);1093-8001-0026;600.71;0.00;1938;;Nerenovuotas;;4;3;2A3p;0.00
5;A. Jakšto g. 6A;Daugiabučio namo A. Jakšto g. 6A / Kaštonų g. 8, Vilniuje savininkų bendrija;Bendrija;2006.07.01;;Gyvenamoji (trys ir daugiau butų);4400-0361-5805;0.00;3531.56;2006;;Nerenovuotas;;40;8;1A6b;0.15
6;A. Juozapavičiaus g. 10;Daugiabučio namo A. Juozapavičiaus g. Nr. 10, Vilniuje savininkų bendrija;Bendrija;2005.08.24;;Gyvenamoji (trys ir daugiau butų);1094-0002-6028;984.89;612.82;1940;2017;Renovuotas;;10;3;2A3p;0.00
7;A. Juozapavičiaus g. 28;Daugiabučio gyvenamojo namo A. Juozapavičiaus g. 28 savininkų bendrija;Bendrija;1993.09.23;;Gyvenamoji (trys ir daugiau butų);1095-5000-1010;1681.36;0.00;1955;2017;Renovuotas;D;18;5;1A3p;0.00
8;A. Kojelavičiaus g. 45;Daugiabučio namo A. Kojelavičiaus g. 45 savininkų bendrija;Bendrija;2008.04.17;;Gyvenamoji (trys ir daugiau butų);1095-9003-9017;1070.69;622.45;1959;;Renovuojamas;;13;1;1A2p;0.00
9;A. Kojelavičiaus g. 92;Daugiabučio gyvenamojo namo Kojelavičiaus g. Nr. 92 savininkų bendrija;Bendrija;2012.12.12;;Gyvenamoji (trys ir daugiau butų);4400-2080-9290;0.00;615.30;1953;;Nerenovuotas;;11;1;5A2p;0.20
10;A. Mickevičiaus g. 32;137-oji daugiabučio namo savininkų bendrija;Bendrija;1993.11.11;;Gyvenamoji (trys ir daugiau butų);1097-2000-1014;0.00;2489.03;1972;;Nerenovuotas;E;24;0;1A6p;0.00
